0: 1 5 12 5 1 17 6 16 5 1 19 6 16 6 19 1 5 16 6 17, zy
66: 1 5 10 2 4 2 6 2 6 4 17 1 5 12 4 12 4 12 5 1 18 1 5 12 4 12 4 12 5 1 17 4 6 2 6 2 4 2 10 5 1 16 1 6 1 16, zy
67: 1 5 12 4 12 4 12 4 12 4 10 4 15 1 6 1 15 4 10 4 12 4 12 4 12 4 12 5 1 17 6 18 6 18 6 16 4 8 4 16 6 18 6 18 6 17, zy
68: 1 5 12 4 12 5 1 17 6 16 4 6 2 8 4 14 5 1 19 6 14 4 8 2 4 2 8 2 4 2 8 4 14 6 19 1 5 14 4 8 2 6 4 16 6 17, zy
69: 1 5 12 4 12 5 1 17 6 18 6 16 6 19 1 5 14 4 10 4 12 4 13 1 6 1 18 1 6 1 13 4 12 4 10 4 14 5 1 19 6 16 6 18 6 17, zy
70: 1 5 14 4 8 2 6 4 15 1 6 1 16 1 6 1 16 1 6 1 15 4 6 2 8 4 14 5 1 18 1 6 1 15 6 18 6 16 6 18 6 15 1 6 1 18, zy
71: 1 5 15 1 6 1 17 6 16 6 18 6 16 6 18 6 16 6 17 1 6 1 15 5 1 19 6 16 6 16 4 8 4 15 1 6 1 15 4 8 4 16 6 16 6 19, zy
72: 1 5 16 6 18 6 17 1 6 1 16 1 6 1 16 1 6 1 17 6 18 6 16 5 1 19 6 17 1 6 1 15 4 8 4 16 4 8 4 15 1 6 1 17 6 19, zy
73: 1 5 10 2 4 2 6 2 6 4 17 1 5 12 2 2 2 8 2 4 2 6 2 6 2 6 2 4 2 8 2 2 2 12 5 1 17 4 6 2 6 2 4 2 10 5 1 16, zy
74: 1 5 10 2 4 2 6 2 8 4 14 5 1 19 6 14 4 12 5 1 18 1 5 14 5 1 18 1 5 12 4 14 6 19 1 5 14 4 8 2 6 2 4 2 10 5 1 16, zy
75: 1 5 10 2 4 2 8 4 14 4 8 2 4 2 10 5 1 16 1 6 1 15 4 10 4 12 5 1 16 1 6 1 16 1 6 1 16 1 5 12 4 10 4 15 1 6 1 16, zy
76: 1 5 10 2 4 2 8 4 15 1 6 1 16 1 6 1 16 1 6 1 15 4 8 2 4 2 10 5 1 16 1 6 1 15 4 10 4 12 4 12 4 10 4 15 1 6 1 16, zy
77: 1 5 10 4 14 4 10 5 1 15 4 8 4 16 6 16 6 19 1 5 15 1 6 1 17 6 16 6 18 6 16 6 17 1 6 1 15 5 1 19 6 16 6 16 4 8 4 15, zy
78: 1 5 12 2 2 2 10 4 12 4 12 5 1 17 6 18 6 16 5 1 20 1 5 16 5 1 20 1 5 16 6 18 6 17 1 5 12 4 12 4 10 2 2 2 12 5 1 18, zy
79: 1 5 12 4 12 4 10 4 13 1 6 1 18 1 5 14 5 1 18 1 6 1 13 4 10 4 12 4 12 5 1 17 6 17 1 6 1 15 6 18 6 15 1 6 1 17 6 17, zy
80: 1 5 12 4 12 4 10 4 14 6 19 1 5 14 4 10 4 12 4 10 2 2 2 10 4 12 4 10 4 14 5 1 19 6 14 4 10 4 12 4 12 5 1 17 4 6 4 17, zy
81: 1 5 12 4 12 4 12 4 12 4 12 5 1 17 6 18 4 6 2 4 2 10 4 14 5 1 19 6 16 4 8 4 16 6 19 1 5 14 4 10 2 4 2 6 4 18 6 17, zy
82: 1 5 12 4 13 1 6 1 18 1 5 14 4 8 2 4 2 8 2 4 2 8 4 14 5 1 18 1 6 1 13 4 12 5 1 18 1 5 14 5 1 18 1 5 14 5 1 18, zy
83: 1 5 12 4 13 1 6 1 18 1 6 1 13 4 12 5 1 17 4 6 2 6 2 6 2 6 4 17 1 5 14 6 20 6 14 5 1 17 4 6 2 6 2 6 2 6 4 17, zy
84: 1 5 12 5 1 16 1 5 12 5 1 17 6 16 6 19 1 5 14 4 10 4 13 1 6 1 18 1 5 14 5 1 18 1 6 1 13 4 10 4 14 5 1 19 6 16 6 17, zy
85: 1 5 13 1 7 19 1 5 14 5 1 19 7 1 13 5 1 18 1 5 14 6 19 1 5 14 6 20 7 1 13 4 10 4 13 1 7 20 6 14 5 1 19 6 14 5 1 18, zy
86: 1 5 14 4 8 2 6 2 6 4 17 1 6 1 15 5 1 19 6 16 4 8 4 16 6 19 1 5 15 1 6 1 17 4 6 2 6 2 8 4 14 5 1 19 6 16 6 19, zy
87: 1 5 14 4 10 2 2 2 10 4 14 5 1 19 6 16 5 1 20 1 5 16 5 1 20 1 5 16 6 19 1 5 14 4 10 2 2 2 10 4 14 5 1 19 6 16 6 19, zy
88: 1 5 14 4 10 2 2 2 10 4 14 6 19 1 5 14 4 10 4 12 4 12 4 12 4 10 4 14 5 1 19 6 14 4 10 2 2 2 10 4 14 5 1 19 6 16 6 19, zy
89: 1 5 14 4 10 2 2 2 10 4 14 6 19 1 5 14 5 1 19 6 14 4 10 2 2 2 10 4 14 5 1 19 6 16 4 8 4 14 4 10 4 14 4 8 4 16 6 19, zy
90: 1 5 14 4 10 4 14 4 8 4 16 6 19 1 5 16 6 18 6 16 4 8 4 16 6 18 6 16 5 1 19 6 16 4 8 4 14 4 10 4 14 5 1 19 6 16 6 19, zy
91: 1 5 14 4 10 4 14 5 1 19 6 16 6 18 6 18 6 16 5 1 19 6 16 4 8 4 16 6 18 6 16 4 8 4 16 6 19 1 5 16 6 18 6 18 6 16 6 19, zy
92: 1 5 14 4 10 4 14 6 20 6 14 4 10 4 14 6 20 6 14 4 10 4 14 5 1 19 6 16 6 18 6 18 6 16 5 1 20 1 5 16 6 18 6 18 6 16 6 19, zy
93: 1 5 14 5 1 17 4 6 2 6 2 6 4 17 1 5 14 5 1 18 1 5 14 6 19 1 5 14 5 1 18 1 5 14 5 1 18 1 5 14 5 1 19 6 14 5 1 18, zy
94: 1 5 14 5 1 18 1 6 1 15 5 1 20 1 5 16 6 19 1 5 15 1 6 1 17 6 18 6 17 1 6 1 15 5 1 19 6 16 5 1 20 1 5 15 1 6 1 18, zy
95: 1 5 14 6 20 6 14 4 10 4 13 1 7 20 6 14 4 10 4 14 6 20 7 1 13 4 10 4 14 6 20 6 14 5 1 17 4 6 2 6 2 6 2 6 2 6 4 17, zy
96: 1 5 16 6 17 1 6 1 15 6 18 6 16 5 1 20 1 5 16 6 18 6 15 1 6 1 17 6 16 5 1 19 6 16 6 18 6 14 4 10 4 14 6 18 6 16 6 19, zy
97: 1 5 12 2 2 2 10 4 10 2 2 2 12 5 1 18 1 5 14 5 1 19 6 14 5 1 18 1 5 14 5 1 18 1 5 14 5 1 18 1 5 14 6 19 1 5 14 5 1 18, zy
98: 1 5 12 4 12 4 10 4 14 6 18 6 17 1 5 12 4 12 5 1 17 6 18 6 14 4 10 4 12 4 12 5 1 17 6 18 6 16 6 16 4 8 4 16 6 16 6 18 6 17, zy
99: 1 5 12 4 12 4 10 4 14 6 19 1 5 14 4 10 4 12 4 10 4 14 5 1 19 6 14 4 10 4 12 4 12 5 1 17 4 6 2 4 2 10 4 10 2 4 2 6 4 17, zy
100: 1 5 12 4 12 4 12 4 12 5 1 17 4 6 2 6 2 6 2 6 4 17 1 5 12 4 13 1 6 1 18 1 6 1 13 4 12 5 1 17 4 6 2 6 2 6 2 6 4 17, zy
101: 1 5 12 5 1 15 4 10 4 10 4 15 1 5 12 5 1 16 1 6 1 15 5 1 19 6 15 1 6 1 16 1 5 12 5 1 16 1 6 1 15 6 19 1 5 15 1 6 1 16, zy
102: 1 5 16 6 16 4 8 4 15 1 6 1 15 4 8 4 15 1 6 1 15 4 8 4 16 6 16 5 1 19 6 16 6 16 4 8 4 15 1 6 1 15 4 8 4 16 6 16 6 19, zy
103: 1 5 10 2 4 2 8 4 14 6 19 1 5 14 4 8 2 4 2 8 2 4 2 6 2 6 2 6 2 4 2 8 2 4 2 8 4 14 5 1 19 6 14 4 8 2 4 2 10 5 1 16, zy
104: 1 5 12 2 2 2 8 2 4 2 8 4 16 6 17 1 5 12 4 12 4 10 4 14 4 10 4 12 4 12 5 1 17 6 16 4 8 2 4 2 8 2 2 2 12 5 1 17 6 18 6 17, zy
105: 1 5 12 2 2 2 8 2 6 4 16 6 17 1 5 12 4 10 2 4 2 6 2 6 2 6 2 4 2 10 4 12 5 1 17 6 16 4 6 2 8 2 2 2 12 5 1 17 6 18 6 17, zy
106: 1 5 12 2 2 2 8 2 6 4 16 6 18 6 17 1 5 12 4 12 4 12 5 1 17 6 18 6 16 4 6 2 8 2 2 2 12 5 1 17 6 18 6 18 6 16 6 18 6 18 6 17, zy
107: 1 5 12 4 10 2 4 2 6 4 17 1 5 13 1 7 19 1 5 14 5 1 19 7 1 13 5 1 17 4 6 2 4 2 10 4 12 5 1 17 6 16 4 8 4 14 4 8 4 16 6 17, zy
108: 1 5 12 4 12 4 10 4 12 4 12 5 1 17 6 18 6 14 4 10 4 12 4 12 5 1 17 6 18 6 14 4 10 4 14 6 18 6 17 1 5 12 4 12 4 10 4 14 6 18 6 17, zy
109: 1 5 12 4 12 4 12 4 10 4 14 5 1 19 6 14 4 12 5 1 18 1 5 14 5 1 18 1 5 12 4 14 6 19 1 5 14 4 10 4 12 4 12 4 12 5 1 17 6 18 6 17, zy
110: 1 5 12 4 12 4 12 4 12 4 12 5 1 17 6 18 6 18 6 17 1 5 12 4 14 6 19 1 5 14 5 1 18 1 5 14 5 1 19 6 14 4 12 5 1 17 6 18 6 18 6 17, zy
111: 1 5 12 4 12 4 12 5 1 17 6 18 6 17 1 6 1 15 5 1 19 6 16 6 19 1 5 14 5 1 18 1 5 14 5 1 19 6 16 6 19 1 5 15 1 6 1 17 6 18 6 17, zy
112: 1 5 12 4 12 5 1 17 6 18 6 16 6 20 7 1 13 4 10 2 2 2 10 2 2 2 10 4 12 4 12 4 10 2 2 2 10 2 2 2 10 4 13 1 7 20 6 16 6 18 6 17, zy
113: 1 5 12 4 14 6 19 1 5 14 5 1 18 1 5 12 4 14 6 19 1 5 14 5 1 19 6 14 4 12 5 1 18 1 5 14 5 1 19 6 14 4 12 5 1 18 1 5 14 5 1 18, zy
114: 1 5 12 5 1 15 4 8 2 4 2 8 4 15 1 5 12 5 1 16 1 6 1 15 5 1 19 6 15 1 6 1 16 1 5 12 5 1 16 1 6 1 15 6 19 1 5 15 1 6 1 16, zy
115: 1 5 14 4 8 2 6 2 4 2 8 2 4 2 8 4 14 4 8 2 4 2 8 2 4 2 6 2 8 4 14 5 1 19 6 16 6 18 6 16 5 1 20 1 5 16 6 18 6 16 6 19, zy
116: 1 5 14 4 10 4 12 4 12 4 10 4 12 4 12 4 10 4 14 5 1 19 6 14 4 10 4 14 6 19 1 5 15 1 6 1 16 1 6 1 15 5 1 19 6 14 4 10 4 14 6 19, zy
117: 1 5 14 4 10 4 12 4 13 1 6 1 18 1 5 14 5 1 18 1 6 1 13 4 12 4 10 4 14 5 1 19 6 15 1 6 1 17 4 6 2 6 2 6 4 17 1 6 1 15 6 19, zy
118: 1 5 14 4 10 4 14 4 8 4 16 6 19 1 5 16 6 18 6 16 5 1 19 6 16 4 8 4 14 4 10 4 14 5 1 19 6 16 4 6 2 8 4 14 4 8 2 6 4 16 6 19, zy
119: 1 5 14 4 10 4 14 4 10 4 14 5 1 19 6 16 4 8 4 16 6 19 1 5 14 4 10 4 14 4 10 4 14 5 1 19 6 16 5 1 20 1 5 16 5 1 20 1 5 16 6 19, zy
120: 1 5 12 2 2 2 10 4 12 5 1 16 1 6 1 16 1 5 12 4 10 2 2 2 12 5 1 17 4 6 2 8 4 14 5 1 18 1 6 1 14 1 6 1 18 1 5 14 4 8 2 6 4 17, zy
121: 1 5 12 4 12 4 10 4 15 1 6 1 16 1 6 1 16 1 6 1 15 4 10 4 12 4 12 5 1 17 6 17 1 6 1 15 4 8 2 4 2 8 2 4 2 8 4 15 1 6 1 17 6 17, zy
122: 1 5 12 4 12 4 10 4 15 1 6 1 16 1 6 1 16 1 6 1 15 4 10 4 12 4 12 5 1 17 6 18 6 16 6 19 1 5 14 5 1 18 1 5 14 5 1 19 6 16 6 18 6 17, zy
123: 1 5 12 4 12 4 12 5 1 17 4 6 2 4 2 10 4 12 4 10 4 14 5 1 19 6 14 4 10 4 12 4 12 4 10 4 14 6 19 1 5 14 4 10 4 12 4 10 2 4 2 6 4 17, zy
124: 1 5 12 4 12 5 1 17 6 18 6 16 5 1 20 1 5 16 6 19 1 5 14 4 10 4 14 4 8 4 16 4 8 4 14 4 10 4 14 5 1 19 6 16 5 1 20 1 5 16 6 18 6 17, zy
125: 1 5 14 4 8 2 6 2 4 2 10 4 10 2 4 2 6 2 8 4 14 5 1 19 6 14 4 10 2 2 2 10 4 14 5 1 19 6 16 6 19 1 5 14 4 10 2 2 2 10 4 14 6 19, zy
126: 1 5 15 1 6 1 17 6 16 4 6 2 8 4 15 1 6 1 15 4 8 2 6 4 16 6 17 1 6 1 15 5 1 19 6 15 1 6 1 17 6 18 6 16 6 18 6 17 1 6 1 15 6 19, zy
127: 1 5 10 2 4 2 6 2 6 2 6 4 16 6 19 1 5 16 6 18 6 16 5 1 19 6 16 4 6 2 6 2 6 2 4 2 10 5 1 15 4 8 2 4 2 8 4 14 4 8 2 4 2 8 4 15, zy
128: 1 5 12 2 2 2 8 2 4 2 8 2 2 2 12 5 1 17 4 6 2 6 2 4 2 10 4 12 4 12 5 1 17 6 18 6 16 6 18 6 17 1 5 12 4 12 4 10 2 4 2 6 2 6 4 17, zy
129: 1 5 12 4 10 2 4 2 6 2 6 2 6 2 6 4 17 1 5 12 4 14 6 18 4 6 2 6 4 18 6 14 4 12 5 1 17 4 6 2 6 2 6 2 6 2 4 2 10 4 12 5 1 17 6 17, zy
130: 1 5 12 4 12 4 10 4 13 1 7 20 7 1 13 4 10 4 12 4 12 5 1 18 1 5 14 5 1 19 6 14 5 1 18 1 5 12 4 12 4 12 5 1 18 1 5 14 6 19 1 5 14 5 1 18, zy
131: 1 5 12 4 12 4 12 4 10 4 15 1 6 1 16 1 6 1 15 4 10 4 12 4 12 4 12 5 1 17 6 18 6 18 6 16 6 19 1 5 14 4 10 4 14 5 1 19 6 16 6 18 6 18 6 17, zy
132: 1 5 12 4 13 1 6 1 18 1 5 14 6 19 1 5 14 6 19 1 5 12 4 13 1 6 1 18 1 6 1 13 4 12 5 1 19 6 14 5 1 19 6 14 5 1 18 1 6 1 13 4 12 5 1 18, zy
133: 1 5 12 4 13 1 6 1 18 1 5 14 6 19 1 6 1 13 4 10 4 13 1 6 1 19 6 14 5 1 18 1 6 1 13 4 12 5 1 18 1 5 14 6 19 1 5 14 5 1 19 6 14 5 1 18, zy
134: 1 5 12 4 13 1 6 1 19 6 14 4 10 2 2 2 10 4 14 6 19 1 6 1 13 4 12 5 1 17 6 18 6 18 6 16 6 19 1 5 14 4 10 4 14 5 1 19 6 16 6 18 6 18 6 17, zy
135: 1 5 12 4 13 1 6 1 19 6 14 4 12 5 1 18 1 5 14 5 1 18 1 5 12 4 14 6 19 1 6 1 13 4 12 5 1 17 6 18 6 18 6 16 5 1 20 1 5 16 6 18 6 18 6 17, zy
136: 1 5 12 4 14 6 19 1 5 14 5 1 18 1 5 14 5 1 18 1 5 14 5 1 19 6 14 4 12 5 1 18 1 5 14 5 1 17 4 6 2 8 4 14 4 8 2 6 4 17 1 5 14 5 1 18, zy
137: 1 5 14 4 8 2 6 4 16 4 6 2 8 4 14 5 1 18 1 5 14 5 1 19 6 14 4 10 4 14 5 1 18 1 6 1 14 1 6 1 18 1 5 14 4 10 4 14 6 19 1 5 14 5 1 18, zy
138: 1 5 14 4 10 4 12 4 12 4 12 4 10 2 2 2 10 2 2 2 10 4 12 4 12 4 12 4 10 4 14 5 1 19 6 16 6 18 6 18 6 16 5 1 20 1 5 16 6 18 6 18 6 16 6 19, zy
139: 1 5 14 4 10 4 12 4 13 1 6 1 18 1 6 1 13 4 12 4 10 4 14 5 1 19 6 16 6 18 6 17 1 6 1 15 5 1 19 6 16 6 19 1 5 15 1 6 1 17 6 18 6 16 6 19, zy
140: 1 5 14 4 10 4 14 4 8 2 4 2 8 2 4 2 8 4 14 4 10 4 14 5 1 19 6 16 4 8 4 14 4 10 4 14 5 1 19 6 16 6 19 1 5 14 4 10 4 14 4 8 4 16 6 19, zy
141: 1 5 14 4 10 4 14 6 20 6 14 4 10 4 13 1 7 20 6 14 4 10 4 14 6 20 6 14 4 10 4 14 6 20 7 1 13 4 10 4 14 6 20 6 14 4 10 4 14 5 1 19 6 16 6 19, zy
142: 1 5 12 4 12 4 12 4 12 4 12 4 12 5 1 17 6 18 4 6 2 6 4 18 6 17 1 5 12 4 12 4 13 1 6 1 18 1 6 1 13 4 12 4 12 5 1 17 6 18 4 6 2 6 4 18 6 17, zy
143: 1 5 14 4 8 2 6 2 4 2 10 4 10 2 4 2 6 2 8 4 14 5 1 18 1 6 1 13 4 12 4 10 4 14 5 1 18 1 6 1 14 1 6 1 18 1 5 14 4 10 4 12 4 13 1 6 1 18, zy
144: 1 5 14 4 8 2 6 4 16 6 18 6 16 6 19 1 5 16 6 18 6 16 6 18 6 16 5 1 19 6 16 6 18 6 16 4 6 2 8 4 14 5 1 19 6 14 4 10 4 12 4 12 4 10 4 14 6 19, zy
145: 1 5 10 2 4 2 8 4 14 4 10 4 12 4 12 4 12 4 10 4 14 4 8 2 4 2 10 5 1 15 4 10 4 12 4 12 4 10 2 2 2 12 5 1 18 1 5 12 2 2 2 10 4 12 4 12 4 10 4 15, zy
146: 1 5 12 2 2 2 10 4 14 6 20 6 16 6 19 1 5 14 4 10 4 14 4 10 4 12 4 14 6 20 6 14 4 12 4 10 4 14 4 10 4 14 5 1 19 6 16 6 20 6 14 4 10 2 2 2 12 5 1 18, zy
